J4_KK5,J1_KK2,MKK,MKK_P,MKK_TOT
27.52,5.0,254.88857532456552,25.350968169075323,300.0
27.91,5.0,255.15907422107026,25.07789070486479,300.0
28.3,5.0,255.4226748677643,24.811727024938357,300.0
28.69,5.0,255.67964193872731,24.552212201304656,300.0
29.080000000000002,5.0,255.93022669970534,24.299094720295567,300.0
29.470000000000002,5.0,256.1746678471312,24.052135644941778,300.0
29.86,5.0,256.4131922829122,23.81110783914965,300.0
30.25,5.0,256.6460158329215,23.5757952483563,300.0
30.64,5.0,256.8733439152815,23.34599223246106,300.0
31.03,5.0,257.09537215874053,23.121502945739767,300.0
31.42,5.0,257.3122869793862,22.902140760928567,300.0
31.810000000000002,5.0,257.52426611670364,22.68772773294245,300.0
32.2,5.0,257.73147913138195,22.478094099912084,300.0
32.59,5.0,257.93408787134285,22.273077817927543,300.0
32.980000000000004,5.0,258.13224690549396,22.07252412736735,300.0
33.370000000000005,5.0,258.3261039273754,21.87628514764509,300.0
33.76,5.0,258.51580013414815,21.684219499567455,300.0
34.15,5.0,258.70147058036855,21.496191950757673,300.0
34.54,5.0,258.88324450750645,21.312073086039018,300.0
34.93,5.0,259.06124565433964,21.131738996639466,300.0
35.32,5.0,259.23559254719066,20.955070990780808,300.0
35.71,5.0,259.40639877051564,20.781955321490816,300.0
36.1,5.0,259.57377322345985,20.61228293133438,300.0
36.49,5.0,259.73782035836564,20.44594921297671,300.0
36.88,5.0,259.8986404059558,20.28285378401445,300.0
37.27,5.0,260.0563295866255,20.122900275898637,300.0
37.660000000000004,5.0,260.21098030950543,19.96599613429448,300.0
38.050000000000004,5.0,260.3626813592671,19.812052432576678,299.99999999999994
38.44,5.0,260.51151807280274,19.66098369509461,300.0
38.83,5.0,260.65757250444693,19.512707731118265,300.0
39.22,5.0,260.8009235836475,19.367145478292866,300.0
39.61,5.0,260.9416472614529,19.224220854890955,300.0
40.0,5.0,261.07981665077295,19.083860620300406,300.0
,,,,
1.0,10.0,113.9258196140366,166.21108337392593,300.0
1.3900000000000001,10.0,123.15688800594671,156.96857863187589,300.0
1.78,10.0,132.21252722664713,147.90214037044282,300.0
2.17,10.0,140.90702990147628,139.19741935127854,300.0
2.56,10.0,149.10828394979444,130.98646260166782,300.0
2.95,10.0,156.74043780167435,123.34505585445675,300.0
3.34,10.0,163.77534544390292,116.30128386224678,300.0
3.73,10.0,170.21950802897584,109.84859154868191,300.0
4.12,10.0,176.1014070007507,103.95845165217787,300.0
4.51,10.0,181.4614811660124,98.59038724168714,300.0
4.9,10.0,186.3451425655264,93.69895489238361,300.0
5.29,10.0,190.7983585497343,89.23816151244296,300.0
5.68,10.0,194.86510447791764,85.16401060462083,300.0
6.07,10.0,198.58606191733847,81.43580316758734,300.0
6.46,10.0,201.9980925365494,78.01666306072165,300.0
6.8500000000000005,10.0,205.13416664040705,74.87360787294377,300.0
7.24,10.0,208.02353983736558,71.97737178333551,300.0
7.63,10.0,210.6920508718731,69.30210735736308,300.0
8.02,10.0,213.1624656857286,66.82504119392006,300.0
8.41,10.0,215.45482548140978,64.52612563280192,300.0
8.8,10.0,217.5867765070465,62.38770878901124,300.0
9.19,10.0,219.57387111147932,60.394233354523884,300.0
9.58,10.0,221.42983641483804,58.53196781370756,300.0
9.97,10.0,223.16681068217423,56.78876997834243,300.0
10.36,10.0,224.79554941004966,55.15388082739648,300.0
10.75,10.0,226.32560399848344,53.61774577532966,300.0
11.14,10.0,227.76547614313893,52.17186023111538,300.0
11.530000000000001,10.0,229.1227510210415,50.808636372417936,300.0
11.92,10.0,230.40421211906238,49.521288283931916,300.0
12.31,10.0,231.6159402618472,48.3037329018437,300.0
12.700000000000001,10.0,232.76339908670374,47.15050451581086,300.0
13.09,10.0,233.85150891538888,46.05668087769431,300.0
13.48,10.0,234.88471069979204,45.01781923936107,300.0
13.870000000000001,10.0,235.86702147587442,44.029900884673516,300.0
14.26,10.0,236.8020825482924,43.089282932809766,300.00000000000006
14.65,10.0,237.69320144549792,42.19265637277818,300.0
15.040000000000001,10.0,238.54338852890362,41.337009445264016,300.0
15.43,10.0,239.35539036332005,40.51959426376683,300.0
15.82,10.0,240.13171216863975,39.73790435915174,300.0
16.21,10.0,240.87465116775454,38.989641319836124,300.0
16.6,10.0,241.5863122516381,38.2726991260229,300.0
16.990000000000002,10.0,242.26862869070422,37.58514343283062,300.0
17.38,10.0,242.92337904483864,36.925194658443594,300.0
17.77,10.0,243.55220214446524,36.29121299135485,300.0
18.16,10.0,244.15661039728252,35.681685088759465,300.0
18.55,10.0,244.73800161854476,35.095212239853076,300.0
18.94,10.0,245.2976695712835,34.53049982286934,300.0
19.330000000000002,10.0,245.8368133821652,33.9863478864946,299.99999999999994
19.72,10.0,246.35654596670216,33.4616427241524,300.0
20.11,10.0,246.85790157173523,32.955349327981686,300.0
20.5,10.0,247.34184255352844,32.46650460850276,300.0
20.89,10.0,247.80926547380557,31.99421129941181,300.0
21.28,10.0,248.2610065887717,31.53763246363925,300.0
21.67,10.0,248.69784680166512,31.09598654220216,300.0
22.060000000000002,10.0,249.1205161418819,30.668542871568384,300.0
22.45,10.0,249.52969781914413,30.254617630816885,300.0
